Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,MEDIA image,30,0,79,89.70398576687633,57.3681480018422,202.0088429999305,757278.8333333334,1.5944424870511624,0.0,80,87,110,110,140,160,200,200,200,200,200
GET,PROBE API /events,10,0,92,104.15581829947769,87.61148299527122,175.68824000045424,14137.0,0.5314808290170541,0.0,92,99,100,130,180,180,180,180,180,180,180
GET,PROBE API /stats,7,0,64,66.25622857141674,55.646546999923885,91.91780899709556,42.0,0.37203658031193787,0.0,64,66,68,68,92,92,92,92,92,92,92
GET,PROBE SPA /,1,0,67.79963399458211,67.79963399458211,67.79963399458211,67.79963399458211,3559.0,0.05314808290170541,0.0,68,68,68,68,68,68,68,68,68,68,68
,Aggregated,48,0,81,88.83897895824096,55.646546999923885,202.0088429999305,476324.75,2.5511079792818596,0.0,85,92,99,110,130,160,200,200,200,200,200
