Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,MEDIA image,189,0,110,171.2743081746065,49.97254800400697,6706.81959400099,1082155.3915343916,9.981292285141382,0.0,110,140,180,200,250,320,500,580,6700,6700,6700
GET,PROBE API /events,6,0,160,293.28548733368126,91.38180500303861,986.2351829942781,14137.0,0.31686642175052004,0.0,190,190,230,230,990,990,990,990,990,990,990
GET,PROBE API /stats,8,0,75,118.96926162353338,48.11050200078171,276.3573829943198,42.0,0.42248856233402676,0.0,100,150,170,170,280,280,280,280,280,280,280
GET,PROBE SPA /,2,0,63.3727890017326,109.66587049915688,63.3727890017326,155.95895199658116,3559.0,0.10562214058350669,0.0,160,160,160,160,160,160,160,160,160,160,160
,Aggregated,205,0,110,172.20313659994778,48.11050200078171,6706.81959400099,998144.6097560975,10.826269409809434,0.0,110,140,180,200,250,320,500,580,6700,6700,6700
