Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,MEDIA image,101,0,85,101.485472287041,49.14658000052441,307.31465199642116,893422.0594059406,5.378432883598481,0.0,85,100,120,130,170,210,250,250,310,310,310
GET,PROBE API /events,6,0,110,125.01522066789524,88.93004099809332,227.7163280014065,14137.0,0.31951086437218695,0.0,110,110,120,120,230,230,230,230,230,230,230
GET,PROBE API /stats,8,0,61,66.838536123214,49.956742994254455,107.1445589986979,42.0,0.4260144858295826,0.0,62,62,81,81,110,110,110,110,110,110,110
GET,PROBE SPA /,4,0,54,54.81297824917419,50.69454199838219,58.61723999987589,3558.25,0.2130072429147913,0.0,56,56,59,59,59,59,59,59,59,59,59
,Aggregated,119,0,85,98.77381703345313,49.14658000052441,307.31465199642116,759117.8067226891,6.336965476715042,0.0,85,100,110,120,170,210,250,250,310,310,310
