Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,MEDIA image,49,0,87,102.91106344856398,56.541204001405276,274.34705299674533,981458.1428571428,2.584287212445074,0.0,87,110,120,130,170,190,270,270,270,270,270
GET,PROBE API /events,6,0,100,117.0623474996925,85.37198099656962,165.49235400452744,14137.0,0.3164433321361315,0.0,120,120,140,140,170,170,170,170,170,170,170
GET,PROBE API /stats,8,0,59,60.28462524864153,55.01284600177314,66.86272200022358,42.0,0.4219244428481754,0.0,61,62,65,65,67,67,67,67,67,67,67
GET,PROBE SPA /,3,0,58,57.69097633553125,53.00519300362794,62.12188400240848,3558.0,0.15822166606806576,0.0,58,58,62,62,62,62,62,62,62,62,62
,Aggregated,66,0,83,96.97524431778055,53.00519300362794,274.34705299674533,730110.3181818182,3.480876653497447,0.0,83,100,120,120,160,180,200,270,270,270,270
